"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"(S)-3-Hydroxybutyric acid","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","C03197","C[C@H](O)CC(O)=O","1"
"1,3-Acetonedicarboxylic acid","NA","NA","NA","NA","NA","0"
"1,5-Anhydro-D-sorbitol","1,5-Anhydrosorbitol","HMDB0002712","64960","C07326","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"10-HYDROXYDECANOATE","10-Hydroxydecanoic acid","HMDB0244272","74300","C02774","OCCCCCCCCCC(O)=O","1"
"14-0_LysoPC","NA","NA","NA","NA","NA","0"
"14-0_LysoPE","NA","NA","NA","NA","NA","0"
"16-0_LysoPC","NA","NA","NA","NA","NA","0"
"16-0_LysoPE","NA","NA","NA","NA","NA","0"
"16-0_LysoPI","NA","NA","NA","NA","NA","0"
"18-0_LysoPC","NA","NA","NA","NA","NA","0"
"18-0_LysoPE","NA","NA","NA","NA","NA","0"
"18-1_LysoPS","NA","NA","NA","NA","NA","0"
"1-METHYLADENOSINE","1-Methyladenosine","HMDB0003331","27476","C02494","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N","1"
"1-METHYL-L-HISTIDINE","1-Methylhistidine","HMDB0000001","92105","C01152","CN1C=NC(C[C@H](N)C(O)=O)=C1","1"
"1-Methylpiperidine-2-carboxylic acid","NA","NA","NA","NA","NA","0"
"1-Methyl-pyrogallol-3-O-sulfate","NA","NA","NA","NA","NA","0"
"2,3-DIHYDROXYBENZOATE","2-Pyrocatechuic acid","HMDB0000397","19","C00196","OC(=O)C1=C(O)C(O)=CC=C1","1"
"2',4'-DIHYDROXYACETOPHENONE","2',4'-Dihydroxyacetophenone","HMDB0029659","6990","C03663","CC(=O)C1=C(O)C=C(O)C=C1","1"
"2-AMINOISOBUTYRATE","2-Aminoisobutyric acid","HMDB0001906","6119","C03665","CC(C)(N)C(O)=O","1"
"2-Deoxyribose-5-phosphate sodium salt","NA","NA","NA","NA","NA","0"
"2-Hydroxy 3-methylbutyric acid","NA","NA","NA","NA","NA","0"
"2-HYDROXY-4-(METHYLTHIO)BUTANOATE","(<U+00B1>)-2-Hydroxy-4-(methylthio)butanoic acid","HMDB0037115","11427",NA,"CSCCC(O)C(O)=O","1"
"2-HYDROXYBUTYRATE","2-Hydroxybutyric acid","HMDB0000008","440864","C05984","CC[C@H](O)C(O)=O","1"
"2-Hydroxyisocaproic acid","Leucinic acid","HMDB0000665","92779",NA,"CC(C)CC(O)C(O)=O","1"
"2-HYDROXYPHENYLACETATE","ortho-Hydroxyphenylacetic acid","HMDB0000669","11970","C05852","OC(=O)CC1=C(O)C=CC=C1","1"
"2-Isopropylmalic acid","2-Isopropylmalic acid","HMDB0000402","5280523","C02504","CC(C)[C@@](O)(CC(O)=O)C(O)=O","1"
"2-Methylhippuric acid","2-Methylhippuric acid","HMDB0011723","91637","C01586","CC1=C(C=CC=C1)C(=O)NCC(O)=O","1"
